,CBSA,Title,MetroMicro,Pop2018,COVIDEnd,AttackRate,r,dataset,remove_deaths,filtering
0,10100,"Aberdeen, SD",Micropolitan Statistical Area,43191,3,,,USAFacts,False,None
1,10140,"Aberdeen, WA",Micropolitan Statistical Area,73901,1,0.0,0.0,USAFacts,False,None
2,10180,"Abilene, TX",Metropolitan Statistical Area,171451,7,,,USAFacts,False,None
3,10220,"Ada, OK",Micropolitan Statistical Area,38247,3,,,USAFacts,False,None
4,10300,"Adrian, MI",Micropolitan Statistical Area,98266,15,,,USAFacts,False,None
5,10420,"Akron, OH",Metropolitan Statistical Area,704845,150,0.29877454767328765,0.9923085269163341,USAFacts,False,None
6,10460,"Alamogordo, NM",Micropolitan Statistical Area,66781,0,,,USAFacts,False,None
7,10500,"Albany, GA",Metropolitan Statistical Area,149917,354,0.3214927884180248,0.9530103772276121,USAFacts,False,None
8,10540,"Albany-Lebanon, OR",Metropolitan Statistical Area,127335,36,0.08209839618418745,0.97230789817895,USAFacts,False,None
9,10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,883169,448,0.2380593734715464,0.9380308141294147,USAFacts,False,None
10,10620,"Albemarle, NC",Micropolitan Statistical Area,62075,5,,,USAFacts,False,None
11,10660,"Albert Lea, MN",Micropolitan Statistical Area,30444,0,,,USAFacts,False,None
12,10700,"Albertville, AL",Micropolitan Statistical Area,96109,7,,,USAFacts,False,None
13,10740,"Albuquerque, NM",Metropolitan Statistical Area,915927,147,0.17531177840689285,0.9877493150687974,USAFacts,False,None
14,10760,"Alexander City, AL",Micropolitan Statistical Area,51212,16,,,USAFacts,False,None
15,10780,"Alexandria, LA",Metropolitan Statistical Area,153044,46,,,USAFacts,False,None
16,10820,"Alexandria, MN",Micropolitan Statistical Area,37964,1,,,USAFacts,False,None
17,10860,"Alice, TX",Micropolitan Statistical Area,52034,1,,,USAFacts,False,None
18,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,842913,496,0.40722195589960614,0.9804757461837617,USAFacts,False,None
19,10940,"Alma, MI",Micropolitan Statistical Area,40599,3,,,USAFacts,False,None
20,10980,"Alpena, MI",Micropolitan Statistical Area,28360,0,,,USAFacts,False,None
21,11020,"Altoona, PA",Metropolitan Statistical Area,122492,6,,,USAFacts,False,None
22,11060,"Altus, OK",Micropolitan Statistical Area,24949,1,0.0,0.0,USAFacts,False,None
23,11100,"Amarillo, TX",Metropolitan Statistical Area,265947,13,,,USAFacts,False,None
24,11140,"Americus, GA",Micropolitan Statistical Area,34969,18,,,USAFacts,False,None
25,11180,"Ames, IA",Metropolitan Statistical Area,124451,3,,,USAFacts,False,None
26,11220,"Amsterdam, NY",Micropolitan Statistical Area,49455,6,,,USAFacts,False,None
27,11260,"Anchorage, AK",Metropolitan Statistical Area,399148,64,0.30376180109322953,0.9833649221385357,USAFacts,False,None
28,11380,"Andrews, TX",Micropolitan Statistical Area,18128,0,,,USAFacts,False,None
29,11420,"Angola, IN",Micropolitan Statistical Area,34586,1,,,USAFacts,False,None
30,11460,"Ann Arbor, MI",Metropolitan Statistical Area,370963,266,0.27178688903861165,0.9917177950556418,USAFacts,False,None
31,11500,"Anniston-Oxford, AL",Metropolitan Statistical Area,114277,9,,,USAFacts,False,None
32,11540,"Appleton, WI",Metropolitan Statistical Area,237524,10,,,USAFacts,False,None
33,11580,"Arcadia, FL",Micropolitan Statistical Area,37489,7,,,USAFacts,False,None
34,11620,"Ardmore, OK",Micropolitan Statistical Area,58311,2,,,USAFacts,False,None
35,11660,"Arkadelphia, AR",Micropolitan Statistical Area,22061,24,,,USAFacts,False,None
36,11700,"Asheville, NC",Metropolitan Statistical Area,459585,36,,,USAFacts,False,None
37,11740,"Ashland, OH",Micropolitan Statistical Area,53745,2,,,USAFacts,False,None
38,11780,"Ashtabula, OH",Micropolitan Statistical Area,97493,6,,,USAFacts,False,None
39,11820,"Astoria, OR",Micropolitan Statistical Area,39764,3,,,USAFacts,False,None
40,11860,"Atchison, KS",Micropolitan Statistical Area,16193,1,,,USAFacts,False,None
41,11900,"Athens, OH",Micropolitan Statistical Area,65818,3,,,USAFacts,False,None
42,11940,"Athens, TN",Micropolitan Statistical Area,53285,3,,,USAFacts,False,None
43,11980,"Athens, TX",Micropolitan Statistical Area,82299,0,,,USAFacts,False,None
44,12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,211306,62,,,USAFacts,False,None
